City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
grytviken,GS,21.54,77,30,10.8,-54.2811,-36.5092,1690246746
aasiaat,GL,36.41,98,99,4.05,68.7098,-52.8699,1690246746
edinburgh of the seven seas,SH,59.02,79,18,37.29,-37.0676,-12.3116,1690246746
yellowknife,CA,79.32,34,100,11.5,62.456,-114.3525,1690246747
gufeng,CN,76.71,73,82,3.69,26.9083,118.9819,1690246747
bredasdorp,ZA,43.99,74,0,4.76,-34.5322,20.0403,1690246747
itoman,JP,89.62,66,75,19.57,26.1247,127.6694,1690246747
portel,BR,77.76,63,5,3.11,-1.9356,-50.8211,1690246649
hawaiian paradise park,US,83.73,78,100,12.66,19.5933,-154.9731,1690246747
sierra grande,AR,43.05,56,100,19.06,-41.606,-65.3557,1690246747
bethel,US,77.36,73,2,4.03,41.3712,-73.414,1690246747
petropavlovsk-kamchatsky,RU,75.79,44,20,11.18,53.0452,158.6483,1690246747
sao miguel do araguaia,BR,75.78,38,1,3.91,-13.275,-50.1628,1690246748
amurzet,RU,74.41,81,98,10.47,47.6967,131.0981,1690246748
pisco,PE,68.05,73,0,17.27,-13.7,-76.2167,1690246748
punta arenas,CL,29.21,83,100,0.34,-53.15,-70.9167,1690246748
port-aux-francais,TF,38.62,69,100,24.72,-49.35,70.2167,1690246748
puerto ayora,EC,80.56,95,60,7.0,-0.7393,-90.3518,1690246748
tomatlan,MX,78.1,92,100,3.53,19.9333,-105.25,1690246748
isafjordur,IS,49.12,96,99,6.04,66.0755,-23.124,1690246749
newman,US,97.03,9,55,9.84,37.3138,-121.0208,1690246749
vadso,NO,49.08,100,100,16.11,70.0744,29.7487,1690246749
adamstown,PN,68.68,70,21,9.08,-25.066,-130.1015,1690246749
waitangi,NZ,54.82,98,100,5.01,-43.9535,-176.5597,1690246749
ushuaia,AR,29.86,69,0,4.61,-54.8,-68.3,1690246749
northam,GB,57.61,86,98,9.91,51.0333,-4.2167,1690246749
qaqortoq,GL,41.76,92,81,5.37,60.7167,-46.0333,1690246749
port mathurin,MU,73.54,76,98,20.24,-19.6833,63.4167,1690246749
xining,CN,66.15,50,2,2.82,36.6167,101.7667,1690246749
albany,US,73.81,85,49,4.47,42.6001,-73.9662,1690246531
pitimbu,BR,73.99,82,19,11.77,-7.4706,-34.8086,1690246750
labrador city,CA,73.31,43,20,3.44,52.9463,-66.9114,1690246750
coronado,US,94.78,77,75,11.01,32.6859,-117.1831,1690246750
yandev,NG,72.97,92,100,7.07,7.3667,9.05,1690246750
ola,RU,73.15,58,4,5.03,59.5833,151.2833,1690246750
iqaluit,CA,44.33,87,75,6.91,63.7506,-68.5145,1690246699
stanley,GB,51.78,92,0,2.3,54.868,-1.6985,1690246750
kone,NC,74.86,50,99,11.92,-21.0595,164.8658,1690246750
juegang,CN,82.98,82,100,9.42,32.3174,121.1855,1690246750
talnakh,RU,60.21,61,15,3.91,69.4865,88.3972,1690246750
hasaki,JP,90.28,75,98,9.33,35.7333,140.8333,1690246751
linxia chengguanzhen,CN,70.27,51,5,1.5,35.6003,103.2064,1690246689
colonia,DE,61.03,86,75,5.75,50.9333,6.95,1690246751
thunder bay,CA,71.58,46,20,9.22,48.4001,-89.3168,1690246604
